Time,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
0,58212,56526,57458,52373,55819,56452,57455,56167,58365,57305,56860,57054,58450,56849,57496,59285
105,56867,54894,55138,51681,54745,54451,56154,56495,56843,56565,56212,56553,58380,55689,57567,58184
210,56114,53941,54111,51160,53279,54005,55179,54464,55573,54768,54572,55570,57724,55476,57506,57553
315,54470,52431,53724,49561,52221,52795,54234,53606,54614,54283,54603,54491,56874,54670,56186,57444
420,52362,51396,51118,48238,51000,52154,52691,52649,54148,52243,53415,54225,56184,53966,56949,56358
525,51912,49305,51108,47329,49257,50089,51761,51187,52156,52204,52910,53832,56387,53280,56685,56625
630,49910,48494,49270,45354,47579,48678,51150,50745,51564,51660,51299,53740,55263,53433,55898,56357
735,48953,46300,47629,44440,47450,48350,49929,49688,50186,50440,51460,52613,54219,52932,55651,56036
840,47226,46031,45997,43736,45701,45879,49376,48613,49550,48814,50100,51291,54222,52374,55711,55934
945,45945,44657,44912,42053,44911,45476,48305,47668,49159,48549,50240,51305,54184,51608,55139,55424
1050,44177,42654,43343,40264,43386,44393,46341,46120,47723,47407,49439,49905,53871,52103,55977,54655
1155,42440,40512,41740,38883,42429,42412,46031,44602,46511,47023,48355,49886,53560,51347,55343,55713
1260,40739,39641,40643,37815,40920,41602,44350,44341,45919,45095,48139,49152,52352,51565,55032,54613
1365,39274,38238,38805,36594,39532,40008,43236,42918,44436,44261,45998,48518,52266,50136,54532,55169
1470,37430,35856,37463,34836,38550,38624,42106,41521,44267,42713,46506,48244,52156,50202,53305,54083
1575,35596,34707,35634,33232,36955,37531,41418,40659,42980,42391,45618,46920,51732,49928,54210,54688
1680,33416,32879,34267,31953,34903,35990,40371,39763,41378,41246,45565,46360,51361,49789,54145,54421
1785,32255,30750,32130,30052,33142,34242,39111,38317,39884,39871,44589,45826,50349,49542,53833,53402
1890,30473,28565,29688,27863,31486,31618,38205,37284,39077,39445,43890,44935,51425,48315,53605,53563
1995,28933,27614,28544,26606,30052,30692,36519,36257,38036,38634,43343,44726,50569,48374,53621,53356
2100,26000,25599,26394,24752,28186,29454,35396,33272,36827,36719,41900,44068,50245,47758,52823,53456
2205,24770,23549,24637,22927,26914,28142,34448,33158,36004,35643,41406,43914,49291,46590,52456,51941
2310,22894,21355,22552,21228,25038,26694,32831,32015,34573,34475,41378,42939,48801,47564,52291,53278
2415,20354,19500,20485,18948,23521,25223,31481,29482,33469,33667,39787,41164,47717,46445,52894,52589
2520,18560,16819,18111,17283,21990,22980,30187,29145,32434,32168,39052,41045,48068,46228,52457,52264
2625,15932,14767,16415,15446,19534,21372,28394,27570,30749,30826,38725,40451,47933,45298,52119,51887
2730,13235,12643,13822,13299,17976,19507,27003,25906,29135,29992,38800,39789,46829,45787,51539,51938
2835,11125,10205,11486,11029,15791,17317,25625,24774,28307,28110,37697,39372,47021,45346,50575,52482
2940,9391,8493,9472,9196,14069,16004,24463,22976,26317,27003,36130,38243,46611,44929,52052,51510
3045,8625,8284,8433,7783,11734,13515,22643,21521,25523,25407,35792,37140,46481,44157,51754,51364
3150,8597,8208,8349,7617,10142,11678,21203,19481,24154,24543,35531,37018,45644,44643,51249,50483
3255,8569,8028,8137,7489,8268,9638,19573,18260,22522,23267,33779,35045,45269,43367,50364,52003
3360,8479,8005,8204,7641,8089,8273,17926,16680,20967,21791,33404,34697,44713,43495,51228,50853
3465,8434,7895,8216,7727,8183,7938,16093,14822,19341,20132,32557,34123,44625,43546,49729,50653
3570,8442,8018,8262,7205,8032,7889,14458,13183,17950,18636,32099,34201,44132,43373,49453,50839
3675,8215,8032,8078,7371,7828,8150,12860,11255,16506,17556,31106,33607,43627,42876,49503,50349
3780,8072,7960,8373,7353,7814,8027,11201,9531,14323,15589,30405,32214,43000,42288,48860,50375
3885,8494,7706,8118,7361,8112,7916,9650,8689,13378,14041,29513,31580,42641,42260,49531,50045
3990,8398,7934,8083,7327,8040,8040,8690,7993,11605,12595,28016,30677,41730,40787,49408,50499
4095,8239,7901,8292,7275,8066,8076,8569,8083,10023,11246,27753,30062,42153,40556,49594,49789
4200,8144,7723,8256,7301,8059,7803,8751,7868,9200,9821,26740,28683,41546,40671,49450,49140
4305,8170,7744,8230,7166,8034,7911,8500,8104,8633,8468,26488,28244,41395,40284,48410,49560
4410,8218,7868,8336,7227,8278,7659,8381,8069,8386,8351,25507,27467,41145,40332,48433,48937
4515,8366,8009,7980,7086,7663,8009,8414,8124,8243,8192,24623,26275,39140,40299,48320,49044
4620,8245,7894,7812,7232,7789,7818,8488,7864,8300,8425,23767,25460,39994,39238,48213,48353
4725,8220,7730,8038,7214,7779,7742,8264,8082,8157,8364,23079,24645,39176,38531,47836,47553
4830,8436,7941,8172,7273,7682,7783,8457,7880,8323,8033,21724,23978,39448,37977,47753,48231
4935,8105,7764,7896,7226,7734,7894,8289,7842,8244,8034,21136,23141,37793,38598,48390,47581
5040,8238,7766,8015,7100,7946,8014,8475,7925,8221,7892,20548,22046,37487,37904,47500,47719
5145,7966,7795,7964,7054,7709,7731,8272,8068,8531,7849,18885,21394,37386,37117,47791,47936
5250,8137,7775,7999,7190,7786,7518,8603,7763,8117,8093,18498,20188,37161,36956,46894,46798
5355,7946,7622,7970,7106,7730,7595,8455,7887,7996,8173,17322,19079,36949,36323,46859,47166
5460,8177,7654,8125,7258,7773,7630,8195,7896,8080,8128,16441,18536,37162,36612,46911,46900
5565,7695,7849,8164,7122,7700,7595,8243,7939,8074,7656,15752,17650,36345,36488,45938,47021
5670,8065,7801,7904,7022,7900,7282,8041,7937,8163,7727,14506,16754,35818,34996,46469,46601
5775,7958,7667,7907,7187,7506,7563,8267,7550,8321,7933,13791,15774,35669,35083,46391,46160
5880,8088,7779,7802,7040,7552,7644,8127,7737,8158,7925,12368,14788,34966,33947,46476,47235
5985,8121,7481,7862,7193,7587,7453,8237,7797,8114,7839,11618,13921,34440,34197,45814,45662
6090,7897,7450,7503,6942,7625,7533,8165,7675,8121,7677,11136,13295,34252,34291,44860,46526
6195,7789,7633,7966,7153,7578,7481,8173,7752,7954,7775,9891,12363,33211,33902,45943,45791
6300,7846,7813,7737,7002,7649,7699,8087,7902,8115,7907,9167,10959,33325,33790,45182,45281
6405,7864,7494,7775,6916,7646,7584,8024,7540,7869,7928,8494,10140,33120,32709,44665,45366
6510,7842,7807,7818,6744,7718,7441,8012,7497,7843,7785,8098,9435,32943,32675,44351,44619
6615,7830,7509,7930,6727,7773,7712,8349,7730,7996,7838,8159,8822,32632,32106,45142,44509
6720,7940,7759,7719,6832,7411,7499,8133,7628,8121,7535,8051,8445,31606,31458,43651,45053
6825,7879,7630,7584,6794,7561,7393,7937,7808,8201,7642,8036,8164,31212,31425,44690,45242
6930,8075,7430,7729,6985,7609,7447,8025,7807,7979,7590,8042,7827,31365,31164,44354,45008
7035,7877,7475,7481,6955,7518,7338,7897,7731,8032,7546,7980,8037,29805,31144,44067,44605
7140,7938,7644,7954,7042,7526,7515,7947,7641,8217,7563,7898,8141,29572,30621,43931,43325
7245,7681,7357,7804,6743,7715,7574,8151,7507,7919,7784,8043,8171,29666,30158,43386,44093
7350,7896,7622,7676,6856,7297,7458,7928,7544,8123,7775,7945,8077,29073,29952,43610,44290
7455,7758,7497,7490,6820,7412,7165,7873,7602,7884,7695,7950,7781,28830,28945,42616,43932
7560,7844,7544,7585,6825,7660,7417,7863,7499,8008,7765,7987,7838,28958,28591,43386,43801
